channelId,channelTitle,videoId,weight,videoCount
UCpsHnULJAkwwckxzdmspKDw,sawyerhartman,"5x3Hy7zie94,vvH4NQoQevo,1RzN3zulIUk,5x3Hy7zie94,SFGBdv4rhq4",1.0,5
UCHIRBiAd-PtmNxAcLnGfwog,B&H Photo Video Pro Audio,"Edvpu_939l4,Edvpu_939l4,mTlTH3jnl-w,ITls-sNx-Kc,Z9BhuLz4qIU,sEVehEa3PCk,jKrxpN3MCCk,1JhOi1OGDtE,5iLnn2VI2h4,oBajfkBZQN8,_J5hbC5SzOA,trVOgUMN4oQ,CW23oYjmlgQ,zuBOgZonka0,r6MX_UE2Bjo,Edvpu_939l4,7UwxPyKOH2Y,WIi1A811LB4,sm7Vp8R1poE,Dar8PZ-WxuQ,a9rJB3VKA74,3ap8k564N_w,a9rJB3VKA74,PZ5_vOP1bcE,KaJFg1KiNQY,9CphwhgmdFQ,0ZEqpMBk2GQ,EQNWhtsRUQY,1i1DMr_Yxp4,XxyfZT_EC_U,LPIIiVSyuIQ,jYJ9g91vN6U,VHgvF_AlhUo,p896__0K4jw,ujQjJRlMG_w,s8H2hbIfgGk,bch3wXaB32A,gbiyu8cGL5c,lSy62FdPNZY,_zhu-nCxkcg,k-xio_Ufxxk,BS4A6GOKfbI,jBe2VxNMijA,pLnZv87Hiac,LGRd1uyrG7A,lDJpXlCQSjI,wQkhjUHuKfQ,HcccEe2Jouc,KPuuVwAkOHM,a9rJB3VKA74,p4deMqX1CiI,U2Rm9BNi3I4,HD0OJCKbRqY,rclrgp1oz1Q,zcXgKJACxHI,FuqMlQ-a_Uo,Qhf4pGA_R2c,1FukZBMRtq8,deFTrKx9eSc,Edvpu_939l4,7UwxPyKOH2Y,eJLD3hQMwkU,onQfoE3vbtk,onQfoE3vbtk,P4xJziPR0Go",1.0,65
UCzdTDJ4qo5XLh2sXTB1WsuQ,John Gress,"c7gpFQwtF68,c7gpFQwtF68,fRhcJl5rSt8,BI9iKduIaXA,mJ2mIfvscT0,mDydQPuecho,fRhcJl5rSt8,c7gpFQwtF68,BI9iKduIaXA,RV428u3LeBk,c7gpFQwtF68,mJ2mIfvscT0,obKZhS6gHw4,S8I0HKzV7nU,Gah-51FSfzQ,N4Q_d7JHqFY,-fHygUJqhno,kOoHZBKDGJg,kOoHZBKDGJg,bUq8_-J5JFM,Gkaf9qafM9U,Q9dfA1TC_s8,Z19lNcd93Y4,Gah-51FSfzQ",1.0,24
UCxCFQfO05RinX6x_r5VVuiA,Jamie Windsor,"VUg33pNa5zE,_ZYGsx1i5L8,_ZYGsx1i5L8,_ZYGsx1i5L8,VUg33pNa5zE,VUg33pNa5zE,_ZYGsx1i5L8,VUg33pNa5zE,yoze3Q8bZ-M,pqJQnzHL2rM,H79c5jPAuX8,_ZYGsx1i5L8,VUg33pNa5zE,_ZYGsx1i5L8,VUg33pNa5zE",1.0,15
UCn5C6P1rxY6PEU6xUKapbCQ,COOPH,"VkdU5sZ_0hI,fTz4Nhgm_SQ,sP7ErbZk6VQ,sP7ErbZk6VQ,5QAQPo2W5zs,M68lNfqmTNk,cyj_Hmz1_L4,9lz2prtTo6U,HajzDPwzCxc,3CiLTW2wg-Y,nIRpw_O5VzI,7ZVyNjKSr0M",1.0,12
UCgYuhW-WrnAvTfJbdbcrfcw,Sean Gallagher - Pro Photographer,"NgP2L9fFdqI,8XBYt-_U4WE,GG8M1Huo_2g,hfvPR-VMVAY,NgP2L9fFdqI,4VDWhbWmPZY,2Cq2AmrGZUk,I1zwju57jlk,PtQOwhPndvg,DyGvH5ZOAww,Ua2VI-peOMU,bjXEySmhmo0,Wp7_Ffr9mLQ,YNK5o23w4bs,EH1wRYn0yaU,vkt5SEacmy8,--Q_ZlLnDLc,cgQB8gCVvCQ,NshmLSgMElY,35T-jA7zRDU,fPpY81YmOjg,JqPQPxCoFng,YC1LwIqf7oI,9s9-TZMKhkU,Kx8FelfAM28,d9Bn63AEtpg,W_a5X9mJE3o,jeyk1uQ8s38,bBEGbbgpvvc",1.0,29
UC_sSJZnJdsnjuAKdr95D9HQ,David Manning,"ndGeYQtJSdQ,ndGeYQtJSdQ,V7z7BAZdt2M,V7z7BAZdt2M,V7z7BAZdt2M,ndGeYQtJSdQ,V7z7BAZdt2M,V7z7BAZdt2M,V7z7BAZdt2M",1.0,9
UCriqrppgdUbwL2YoE_e2nwg,Austin James Jackson,"0-Eb3rcbz3U,Vg1WDO4od90,MS916YBWX3E,_uLnYGR0Fqs,Vg1WDO4od90,U_wPlZ59f3g,xyygvNnZOk4,rhmQD8ypLPg,cJtzYicE73w,3SKvkvHWZJU,c_tKhafJD1c,TlhmIcg4Al0,WhqqH2Lqabc,9sakKwUguZ4,iKpzWl_3MFc,gTWjCTILqJI,mFxODLBzALU,oCZXJcodN9U,fJ5JrQT7zCo,KBYnh29-4qc,CprPGFqDV74,tk3h8kDFTHc,EtlsTiB3F4A,9q8Zjsm38ro,tZNqqaiW24w,1zU5huT0960,nwRx76AxTes,px9RG_MhKy4,s8pb7EPRbD0,xa0b23q2ZvA,iLItS9eDaKE,c6_BKdy74XA,YY43Atn5UMo,FqGfT5dCeZ0,_uLnYGR0Fqs,Vg1WDO4od90,TcWopW3Nm_A,R0dArSyz8c0,_uLnYGR0Fqs,Vg1WDO4od90",1.0,40
UC9eJ0QMxVANECYICsnM1yzA,Glyn Dewis,"AtdIdoQMISM,AtdIdoQMISM,WNDneLcRwyU,IP6ms_D6WJs,VlutlobcKt8",1.0,5
UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"cWPnu6IrkDE,l6ikwI7YXZY,1vT07QVwZuA,1vT07QVwZuA,1vT07QVwZuA,_ousjc-48Hw,IzlYFrAXWIA,VcC7FAnEMUQ,7NHYtiqXRkk,bgVQCjxe-HU,TI-uccAUKu0,UG8ITOHj4X4,tjMuBex_Klw,uayMBocLJV0,abDDTVgPJ4c,hmzZKXIGv5s,-trxn9Ak-f4,FaRMLsKeOxQ,5S5cKRpR_p0,MRqr7F72z-Y,-sNUtwRSfmM,3niSkw50eGg,1DUilKNOEac,LBizB0cChkg,VSLC6zkMzbo,4dr_yB8fEwY,-rhckx09tRg,4lyJJ2wd0xg,YO94U2z2CUQ,5KWhQFqSXkI,65VgsMQhZrk,idzg-7C38kw,uHx-Xu0u_LY,KJ4N7kezouE,xExHS8qJl3s,csdb0-xvFVA,LVQX2La375s,FSGpghA1w18,amY-ZiPKqvQ,amY-ZiPKqvQ,OWxJMbor4a4,NB7QMn3An8Q,nYyb_a5pCaE,da_DsGeCWuY,-Xfu0wqjXAw,Yb5gzB5Jhhw,Tz92vIAotiI,q1lyO_MPoRQ,MRqr7F72z-Y,5KWhQFqSXkI,-sNUtwRSfmM,VSLC6zkMzbo,OWxJMbor4a4,BjbTe81scO4,R9CQrgLO4O0,2cFjQR43HtE,K8IZuWOFNVk,YMaYrVzjzCI,YMaYrVzjzCI,hBQ74zf6_PU,-sNUtwRSfmM,MRqr7F72z-Y,1DcGAr0CTo8,VSLC6zkMzbo,W3XB9OI9oc0,ug7YOO655o8,fHaStO4W68s,-RKFKVx3AQI,ACFhY3VJcnE",1.0,69
