videoId,title,channelId,channelTitle,description,publishTime,statistics
fRhcJl5rSt8,Portrait Lighting Terms Beginners Need to Know in the Studio!,UCzdTDJ4qo5XLh2sXTB1WsuQ,John Gress,Types of studio lighting in photography: Each light on set plays a specific role and each of those roles has a name. Today's video ...,2024-04-29T13:53:44Z,
c7gpFQwtF68,The 9 types of portrait lighting photographers need to know-whether they&#39;re on location or in studio,UCzdTDJ4qo5XLh2sXTB1WsuQ,John Gress,"Types of studio lighting in photography: In this video you will learn one of the keys to mastering lighting! The term ""lighting ...",2023-11-27T15:07:17Z,
EJWNQv01VtI,Three Rules of Lighting for Photography,UCzYoPONSfo9izLEHZKq9V2g,Ed Verosky,Grab The Free Bundle: https://edverosky.com/portrait-photography-quickstart-bundle/ The three important rules regarding the ...,2012-08-13T20:29:29Z,
Ur4SnI2FM7w,The PERFECT two light setup! #photography #westcott #studio #offcameraflash,UCmV6AkO8ALtrOETmPYphw9w,Eli Infante,,2023-11-05T13:00:09Z,
bR92SaLrTNM,The BEST Lighting for photography? 📷,UCzi1cAY62PslI1b-4KGVxoQ,Anthony Gugliotta,Watch more here: https://youtu.be/IPd9TxM3IaM My Cameras and Lenses My Camera: https://geni.us/t93yc B-Camera: ...,2022-09-29T13:00:16Z,
bWy5uHLuQDk,Portrait Lighting in 10 Minutes: 1 Light - 5 Setups | Master Your Craft,UC8Pksdbj37CdE00kmE7Z1dw,Adorama,"Learn 5 simple lighting setups using one light in less than 10 minutes! Whether you are shooting on location or in the studio, these ...",2021-02-19T15:00:10Z,
5PzzHo1VFFA,How Light Works | Photography Lighting for Beginners,UCmCNenalzQqqDBg0hYFN6Aw,Jeff Rojas (SAJORFFEJ),"If you're interested in basic photography lighting, this is the video for you. This is everything you need to learn about light, ​and ...",2019-01-14T02:39:05Z,
BI9iKduIaXA,The 10 portrait lighting mistakes that every new photographer makes,UCzdTDJ4qo5XLh2sXTB1WsuQ,John Gress,"Click here for a full list of all the gear I use in the studio - https://shop.howl.me/JohnGress V-FLAT WORLD Foldable V-Flat, Set of 2 ...",2020-12-06T15:15:54Z,
2SMSLYPc5a8,Toy Photo Lighting Tutorial | 3 Lighting Setup - Taking a Picture of Hellboy,UCkfbJ_7DRe8h-AeApQK5TAA,lensboitoys,"Hello, beautiful people! In this quick lighting breakdown, I'm using a three-light setup to shoot the Hellboy figure by Mezco.",2025-05-12T11:30:03Z,
PI3fK2x5rBY,Super Simple Portrait Lighting Setup!!,UCD8kD97bbQ1Y1YOjugJuuoA,Delaney Media,My Camera Gear Reccomendations: https://kit.co/WillDelaney/my-content-creation-kit Hire Me for Your Wedding: ...,2023-03-04T14:00:12Z,
