videoId,title,channelId,channelTitle,description,publishTime,statistics
AtdIdoQMISM,5 TIPS to INSTANTLY IMPROVE your PORTRAITS 📷,UC9eJ0QMxVANECYICsnM1yzA,Glyn Dewis,lightroom #photoshop #photography #portrait The Photoshop Virtual Summit 5 - GRAB YOUR ...,2022-12-18T18:00:03Z,
MRqr7F72z-Y,Portrait Photography Tips For Beginners,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND NEW VIDEO LUTS - https://bit.ly/3tr58Se My BRAND NEW ...",2023-01-17T20:00:06Z,
j5O6x5SYgMI,Level up your Portrait Photography the EASY way!,UCzi1cAY62PslI1b-4KGVxoQ,Anthony Gugliotta,NEW Lightroom Presets: https://bit.ly/DIV2LAUNCH LET'S CONNECT: https://gugliotta.one/contact #photography.,2024-10-30T15:01:01Z,
qZUWdu2PnXg,"I Shot 100,000 Portraits: Here&#39;s What I Learned...",UCpmd_5VG_FiJI3sJjdWVMtg,Mitch Lally,My Lightroom Presets: https://www.mitchlally.com/presets/ My LUT Pack: https://www.mitchlally.com/luts/ ⚡️ Learn to create ...,2023-01-26T17:48:50Z,
5KWhQFqSXkI,📸 How I Set My Camera Up For Portraits,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND NEW VIDEO LUTS - https://bit.ly/3tr58Se My BRAND NEW ...",2023-02-13T22:32:54Z,
aEOAhVsQklY,"4 minutes of NO BS, Straight to the point PORTRAIT Photography tips",UC3R5ehQRUHvhJ7rL1eu0AeQ,Manny Ortiz,GET 10% OFF your next Squarespace website: https://www.squarespace.com/mannyortiz MY STUDIO PORTRAIT PRESETS: ...,2023-07-31T17:59:45Z,
_MV9wmoWyoU,Portrait Composition Tips you NEED to Know,UCxbCDVe8TuzLbPFnxlC55Nw,Julia Trotti,Use this link to get $25 off your PPA membership: https://www.ppa.com/join/julia-trotti/may23 All photos edited with my Lightroom ...,2023-05-28T12:30:25Z,
P221mOsOhx8,10 Tips to Instantly Improve Your Portrait Photography,UCH_4ivcHglWLgGBTP9TTL5g,Adventure & Art,"Want to take your portraits to the next level? In this video, I'm sharing 10 powerful tips that will instantly improve your portrait ...",2025-02-03T08:00:06Z,
Lw5MUup0ERE,top photography shoots tutorial idea be Parvesh Raj #youtubeshorts #shorts,UCk7Y9YJDMvmHlBldHtkAkpQ,Parvesh Raj photography vlog ,photography shorts funny trending viral creative videography ideas with mobile photography sudipto streetphotography youtube ...,2025-05-11T06:44:16Z,
1DC59Dr2e1Q,5 Portrait Photography Tips That Changed Everything for Me,UCA7NPVw6lvFy0bYSitZs-PA,Martin Castein,Online workshops: https://www.martincastein.com/workshops -------------------------------------- My Camera Gear for Photo/Video ...,2024-12-02T17:01:31Z,
