videoId,title,channelId,channelTitle,description,publishTime,statistics
_ZYGsx1i5L8,13 Smartphone Photography tips &amp; tricks,UCxCFQfO05RinX6x_r5VVuiA,Jamie Windsor,00:00 - The philosophy of phone photography 04:33 - The work of Kathy Ryan 07:47 - 13 tips for better photos 16:17 - Conclusion ...,2023-01-19T17:43:40Z,
3UpP2a2KMVI,Creative Photography Tips and Trick with Phone using pro Mode  | Mobile Photography Hacks,UCmJry6Nnjuai_A3zeTu-0jw,THE ADWIN ,"Rocky Edits photo graphy, photography, photography ideas, photography logo, photography hacks, photography shots, ...",2022-11-09T05:42:53Z,
rDc3ayndF94,Take Better Photos on your Smartphone,UC18fv3yDege-nPN5zO48eHg,Kyle Nutt,,2022-01-21T13:23:57Z,
vwA4EFWUjZE,Creative Photography Tips and Trick with Phone using pro Mode  | Mobile Photography Hacks #shorts,UCmJry6Nnjuai_A3zeTu-0jw,THE ADWIN ,"Rocky Edits video dawnload Instagram photography ideas, photography logo, photography hacks, photography shots, ...",2023-05-21T03:50:20Z,
HqxffqEDVBg,7 Best SmartPhone photography Tips!,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,We Are Hiring! APPLY HERE: https://techwiser.com/we-are-hiring Please leave a LIKE ❤️ and SUBSCRIBE For More Videos ...,2022-11-15T06:30:05Z,
VkdU5sZ_0hI,5 awesome smartphone photography tips,UCn5C6P1rxY6PEU6xUKapbCQ,COOPH,"Do you want your smartphone photography to stand out even more? Then take a look at this video, because the COOPH ...",2021-02-28T14:00:14Z,
whzjjaWRK24,Amazing Mobile Photography Tips To Make Your Photos Viral #shorts,UC9IbBVJ0tg549Mk6Ves-3gg,Ur SmartMaker Shorts,use two books to get this amazing results | creative mobile photography tips Get Regular Creative Short Photography ...,2021-02-23T07:54:00Z,
UV5cvvYmJJI,The Rule of Thirds for Beginners | 60 seconds,UCGUSrx8dZxHVfpl5sI8CI8g,Matt Johnson,shorts Learning the rules of composition is one of the fastest ways to get better at photography. The rule of thirds is the easiest of ...,2021-02-10T20:20:16Z,
oijRcszJPrE,One-Shot Mobile Photography Tricks You Must Know #videographytips #cinematicshots #shorts,UCIlQVONwP6m1Z25TOw3cokw,Phone Film Academy,One-Shot Mobile Photography Tricks You Must Know Unlock the secret to capturing perfect photos in just one shot! Whether ...,2025-05-11T15:43:40Z,
CUFK-JohrAE,Still taking your portrait photos like this?,UCl0L4ecl2ipGTVLp0zz8Puw,JD THECAMERAGUY,,2022-08-09T01:24:49Z,
oHq4-KjiIfE,Tricks to take better iPhone photos in a cafe! ☕️📸 #iphonephotography #iphonecamera #coffee,UC1Q5iU8ODtqQjKFZgz8JAPg,iPhone Photography School,,2023-04-26T20:47:53Z,
fTz4Nhgm_SQ,7 smartphone photography tips &amp; tricks,UCn5C6P1rxY6PEU6xUKapbCQ,COOPH,"Watch photographer Lorenz Holder give an iPhone photography tutorial in Munich, Germany, with some tips and tricks for all ...",2014-08-25T13:00:02Z,
B7Y3VHmSRps,The Panoramic Photo Hack,UCVCbC80md7aosoeYuZTfLgQ,Mixbook,Don't sacrifice a great photo because it doesn't fit into the frame. Try this panoramic hack to fit tall backgrounds into your shots.,2021-11-30T21:24:08Z,
JIpPAICCyus,Creative Photography Tips and Trick with Phone using pro Mode  | Mobile Photography Hacks,UCmJry6Nnjuai_A3zeTu-0jw,THE ADWIN ,"Rocky Edits photo graphy, photography, photography ideas, photography logo, photography hacks, photography shots, ...",2022-11-02T13:16:22Z,
7Xx-YHqtcRc,How to Take Better Landscape Photos with Phone! 🔥📸,UCNqY1FkMlbGSHIMfPsG5b-g,Talenthouse Photography,In this phone photography tutorial we share with you a phone photography tip that will help you take better landscape photos with ...,2022-10-27T18:21:56Z,
j0AMBFMjzXA,3 tips for iPhone food photography 🥞 #foodphototips,UCcpxwzzg-oGEeHCr3_-m2SQ,Nick Anderson,,2024-02-14T21:23:13Z,
leMefrvElYA,Amazing Photography Tricks 🔥 With Mobile Phone #shorts,UC9IbBVJ0tg549Mk6Ves-3gg,Ur SmartMaker Shorts,Amazing Photography Tricks With Mobile Phone #shorts Get Regular Creative Short Photography & Videography Videos ...,2021-03-06T07:27:44Z,
c9m-n6NjWEc,3 Camera Tips for Samsung,UCEeH57P89hPQ1Sp2TavfICA,Parker Burton,shorts.,2021-11-30T18:26:25Z,
1kwt0mjN6BU,Portrait photography tips for mobile phones,UCCveJZcpEe8OA2wRGzXT7pQ,Praveen Bhat Photography,Portrait photography tips for mobile phones. Learn how to take professional photos with mobile phone.,2023-11-27T13:06:32Z,
9db09xY30Xc,Top 10 Smartphone Photography Beginner Mistakes,UC_Nql0AlGzl7dSAuTqBUPEA,MountMedia,Here are my top 10 smartphone photography beginner mistakes and some tips to improve your smartphone photos. Most of my ...,2021-02-13T16:00:02Z,
huLL_EE3fss,pro mode night photography📱,UC02I5YoHGP0o3Cz5Aqe6xsw,shotsby_ankit,,2022-02-25T13:47:14Z,
hGIGiF7sc1U,Got a DJI Osmo Mobile 6? Try SpinShot mode for something DIFFERENT 🔄 IG: hosseinhaddadi,UCsNGtpqGsyw0U6qEG-WHadA,DJI,,2024-08-14T16:45:03Z,
1QyHnMSohDA,Nature Photography Tricks with Mobile #shorts #sunset,UCzbbDkhP2syiheG_vWuPOpQ,Sree Photographs,photographytricks #viralvideo #mobilephotography #nature #shortvideo.,2023-04-26T06:52:33Z,
i6ZprIiP3Tw,How to Use Pro Mode on Samsung (1/3),UCEeH57P89hPQ1Sp2TavfICA,Parker Burton,,2023-04-19T04:30:19Z,
0nG7pAXRgvE,10 Mobile Videography Tips For Beginners,UCWWq67D7TofEPq_eBiaYCWw,Learn Online Video,My Mobile Videography Course: https://learnonlinevideo.co.uk/mobilevideographyforbeginners 30 Day Free Music Trial with ...,2022-06-24T08:32:35Z,
1FQanm7OdRs,Mobile photography tips &amp; trick | Photo ideas | Minisha Pathak  #iphonephotography #shorts #pose,UCVqzjsXIt4izDaOc4OdQFUA,Minisha Sharma,,2025-02-19T12:08:22Z,
YVwDZ70o11Q,Long exposure night photography on phone 📱😱 Phone photography trick #shorts #shortsvideo,UCQ98Bh1WIhpJxeWXc4i-A8w,Photofreak Guy,Mobile Photography idea Mobile Photography tips and tricks Creative Mobile Photography Ideas Photography with Phone ...,2022-09-19T15:13:15Z,
8y-hasHqCK8,Top 10 Smartphone Moves (Handheld) | Beginner to Pro Demonstration!,UCeu0J9A1p87aVUqZkMYF-_g,Thomas Alex Norman,Get ready to learn the top 10 handheld smartphone movements you need to know! Build Unshakable On Camera ...,2023-01-31T20:58:38Z,
Exx1wCZPf6w,How to Click Clouds with phone? 📱😱 Mobile Photography Idea 💡 #shorts #youtubeshorts,UCQ98Bh1WIhpJxeWXc4i-A8w,Photofreak Guy,Mobile Photography idea Mobile Photography tips and tricks Creative Mobile Photography Ideas Photography with Phone ...,2022-09-19T15:13:05Z,
0nnm-Bjdct8,Smartphone Macro Photography #photography #shorts,UCuqFaWTBdsI5eAFEfRktlFw,Balaram Paul,Lens used: www.lensbong.ecwid.com #photography #shorts #ytshorts #mobilephotography.,2022-09-02T01:31:38Z,
V4gTkH1P4OY,NEW IPHONE camera trick 🔥🔥🔥 #shorts,UCN7EkdRbGcjLPb1mBjKl2PA,Dii Photography,Make sure to like & subscribe for more !! Road to 10K ❤️ Come back for daily uploads!! Join the journey with me and my ...,2021-06-14T20:30:26Z,
ebkuXn5YwrU,CREATIVE CINEMATIC SHOT TECHNIQUE WITH PHONE 😱😱,UCiUeZ1MOIRfMN_zW54XzHPA,P J Cinematic Shorts ,EVERYTHING FROM P J CINEMATIC IDEAS BUT IN SHORTS MY MAIN CHANNEL :https://youtube.com/c/PJCinematicIdeas ...,2022-10-11T15:35:49Z,
M18ojRd0uVA,7 Smartphone Photography Tips &amp; Tricks,UCyaDDjiNgWX-uRXOx6LPsYQ,Serge Ramelli Photography,Download the Source Files that go along this tutorial : https://www.photoserge.com/offers/TqoLKvLj 1. Communicate a strong ...,2017-02-11T16:00:01Z,
kQrXmQzC79g,3 Smartphone Photography Tips &amp; Tricks,UCKEhXxQlYSrxZWsZYhshDOg,Luke Edwin,Film Making Gear I use: ...,2020-06-26T17:19:17Z,
sxsRUbYfvVE,How to TAKE BETTER PHOTOS with YOUR PHONE | Smartphone photography tips,UC-zfQH9dMZEWSvmbVM3Zo2A,Luka Ažman,Subscribe to my email newsletter: https://lukaazman.ck.page/63e38f1c2f How to TAKE BETTER PHOTOS with YOUR PHONE ...,2020-06-04T16:40:40Z,
3c7_pPKFpBo,4 Viral Smartphone Photography Tricks! #shorts,UCvo2tOQ0yDJLFRi7QAt58yA,MostTechy Shorts,MostTechy Main Channel: https://www.youtube.com/MostTechy Follow me across social media platforms for behind the scenes: ...,2023-03-12T14:31:20Z,
8EVWOEmZC78,poco m2 pro camera pro mode tricks | smartphone  photography #poco #flower #shorts #trending #reels,UChSi4P8JG_BD5yT2TZLqZTA,Picstricks,poco m2 pro camera pro mood trick | poco m2 pro camera review queries . poco m2 pro poco m2 pro camera poco m2 pro new ...,2023-07-21T06:44:26Z,
BqdfzejCS7k,Vivo V25 pro Camera Pro mode Tutorial #shorts #shortvideo #ytshorts #shortvideo #mobilephotography,UCDgmxt94zqZJt3K5xUaeLPQ,DEBU PHOTOGRAPHY,Vivo V25 pro Camera Pro mode Tutorial @debuphotography7734.,2023-04-05T06:42:42Z,
4Y1bWDtTxfc,Top Mobile Photography Tips for Stunning Shots 📸,UC_UbVQ0_KlzYnps3extQJ4A,Joydeep Chaudhuri Explores ,Ready to transform your mobile photos? Discover essential tips to capture breathtaking images right from your phone!,2024-09-23T15:15:00Z,
h34TDOA5eHs,EASY WAY to get sharp photos of your eye 👀 #iphonephotography #mobilephotography #macrophotography,UCL0LNoxlbu2cHVqxeRnUgLA,Kenton Frederick,,2023-11-02T15:36:36Z,
ij-P02p5jUQ,Sunset Photography with Oppo Reno 8 😱📱| Mobile Photography tips &amp; tricks #shorts #youtubeshorts,UCQ98Bh1WIhpJxeWXc4i-A8w,Photofreak Guy,Sunset Photography with Oppo Reno 8 pro Mobile Photography Tips & Tricks Mobile Photography Idea Mobile Photography on ...,2022-08-30T09:38:04Z,
xHvFHRPLvII,6 Mobile Photography Tips you must know - 2018,UCZcxH4XXZnq7yHWGwPvrpUQ,PIXEL VIILAGE,"In this video, Pixel Viilage is giving you 6 tips which anyone can practice and improve ones photography with mobile phones.",2018-07-16T13:21:41Z,
5lHhSkvEkyU,Creative Photography Tips and Trick with Phone using pro Mode | Mobile Photography Hacks,UCi4C36lHZvGSuczZe9A9jIA,Today photography ,Creative Photography Tips and Trick with Phone using pro Mode | Mobile Photography Hacks #mobilephotographyideas ...,2024-02-29T07:30:03Z,
3HZRj2I6fQM,5 Smartphone Photography Tricks You Must Try,UClPGjjMQLODmpgUpMJ5oxlQ,Play4Tech,Here are 5 creative smartphone photography tips and tricks to take amazing photos. Follow Me On - Instagram - @vibin_marish ...,2019-12-31T08:43:11Z,
kwCaonEEGuI,Smartphone Photography Tips And Tricks 2023,UC3CGrE7-Yksxvh-aphmHjWg,TECHBIGGEST,"Dear viewers, on this channel, you are assured for important tech information. if you find my video helpful, please subscribe, ...",2022-04-28T21:09:16Z,
eLNvtEOZjWw,Smartphone Photography tips and tricks | Secret to Become Pro | Tech 101 | HT Tech,UCUmhg3QldZiYoO9mKGpumBA,HT Tech,We have a few tips to share around smartphone photography. We are sure these will help you click better pictures and hopefully ...,2023-02-18T13:15:03Z,
oQy6l3wkEHs,5 Ways to Take Better Mobile Photos // Samsung Galaxy S21 Ultra,UCj9r3VS9Tuy9FRI87HrXgow,Demas Rusli,Here are 5 tips/tricks you can use to take better photos using your mobile phone! A few of them are specific to the Samsung ...,2021-02-07T10:00:13Z,
HRm2YRXwJY0,Top 3 Camera Apps For Android 🤖📸 #photography #apps #android #photographer,UCZecTQt76_GfNYl9CyvBDyg,Airbazoo,,2023-06-25T19:13:54Z,
_rmZfO61qWk,How to Click Stunning Macro Images Using Water | Smartphone Photography Tricks,UCcXz4kILAdKLmrxIQ01nY8w,How to Mobile Photo,Have you ever considered that a drop of water can give you the same results as a pair of Macro Lens? Watch David McClelland ...,2020-08-05T12:00:08Z,
sP7ErbZk6VQ,7 smartphone photography tips for shooting like a pro,UCn5C6P1rxY6PEU6xUKapbCQ,COOPH,COOPH presents 7 key tips and tricks that will boost your smartphone photography to compete with the pros! With a little creativity ...,2017-09-27T14:03:01Z,
_rmZfO61qWk,How to Click Stunning Macro Images Using Water | Smartphone Photography Tricks,UCcXz4kILAdKLmrxIQ01nY8w,How to Mobile Photo,Have you ever considered that a drop of water can give you the same results as a pair of Macro Lens? Watch David McClelland ...,2020-08-05T12:00:08Z,
b2eAg0PsKB8,Master Mobile Photography: Essential Tips for YouTubers &amp; Vloggers!,UC_UbVQ0_KlzYnps3extQJ4A,Joydeep Chaudhuri Explores ,Elevate your vlogging game with these essential mobile photography tips! Whether you're a seasoned YouTuber or just starting ...,2024-07-26T15:15:02Z,
BwQ-1H4PiRU,Nifty iPhone Live photo trick with a moving background 📱 #mobilephotography,UCdz6xAhGvoANd_9vVmFfWfg,Jared VanderMeer,,2022-11-02T14:33:09Z,
gv6UHTuNIRw,mobile photography tips realme 7 pro #mobilephotography #youtubeshorts #shorts,UCZCHvXDFqduKDNJHBjrJi4g,Suraj Photography,mobile photography tips realme 7 pro #mobilephotography #youtubeshorts #shorts#surajphotography #viralshorts #shortvideo #,2022-11-23T12:12:05Z,
sP7ErbZk6VQ,7 smartphone photography tips for shooting like a pro,UCn5C6P1rxY6PEU6xUKapbCQ,COOPH,COOPH presents 7 key tips and tricks that will boost your smartphone photography to compete with the pros! With a little creativity ...,2017-09-27T14:03:01Z,
UOIMruNiQVM,Airplane Photo On Your Smartphone 📱?,UCl0L4ecl2ipGTVLp0zz8Puw,JD THECAMERAGUY,,2022-12-31T15:42:34Z,
8bJE_7NyyQE,Capture The Best Product Photos In Natural Lighting | Smartphone Photography Tricks,UCcXz4kILAdKLmrxIQ01nY8w,How to Mobile Photo,Capturing the perfect #ProductPhotos from your smartphone sounds like a difficult task? Not anymore! In this short but informative ...,2022-12-14T12:00:04Z,
X94KXF2ZX38,TOP 2 Mobile Photography Tips for Android &amp; iPhone | Smartphone Photography tips in Hindi,UCCveJZcpEe8OA2wRGzXT7pQ,Praveen Bhat Photography,TOP 2 Mobile Photography Tips for Android & iPhone | Smartphone Photography tips in Hindi.,2023-03-28T11:11:03Z,
gpn1P23Q3O0,🤯 இந்த டிப்ஸ் தெரிஞ்சா நீங்கதான் போட்டோகிராபி கடவுள் | Mobile Photography Tips in Tamil #photography,UC_jlzc9reWJK6xUH4u7ezww,Desandhiri,If you don't have camera dslr no worries now you can make your Mobile camera into Dslr. If you want to alearn Photography this ...,2024-11-10T02:49:58Z,
5NtrO4y_Gtw,7 smart phone photography tips &amp; tricks,UC8567DmojT8Ca3oZQlKip9w,Filmora for Creators,Trending Video Topics: https://filmora.wondershare.com/trending-video-topic.html ☆FREE Download Wondershare Filmora ...,2018-05-15T11:35:03Z,
z_oxMpVKnxg,Smartphone photography tips: TechRadar&#39;s essential guide,UCAY_M9HyJb8oMKPV1utQQyA,TechRadar,You don't have to be a wizard behind the camera to grab great shots with your smartphone: just follow our essential guide and ...,2014-04-22T09:59:31Z,
