videoId,title,channelId,channelTitle,description,publishTime
5S5cKRpR_p0,📸 Beginner Photography Tips Part 1,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND NEW VIDEO LUTS - https://bit.ly/3tr58Se My BRAND NEW ...",2022-12-29T20:00:02Z
V7z7BAZdt2M,PHOTOGRAPHY BASICS in 10 MINUTES,UC_sSJZnJdsnjuAKdr95D9HQ,David Manning,Learn Photo Editing Basics: https://youtu.be/ndGeYQtJSdQ Learn Photo RETOUCHING Basics: ...,2019-01-31T21:13:37Z
MRqr7F72z-Y,Portrait Photography Tips For Beginners,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND NEW VIDEO LUTS - https://bit.ly/3tr58Se My BRAND NEW ...",2023-01-17T20:00:06Z
f2XsQkuAsaU,"20 Essential Photography Tips For Beginner Photographers (Get Good, Fast)",UCeMvA8xJIGgvEjO0kgGFOpg,Pat Kay,"While there are so many ways to learn photography, there are also so many dead ends and potential rabbit holes you might waste ...",2021-06-22T11:00:12Z
-sNUtwRSfmM,Street Photography Tips For Beginners,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND NEW VIDEO LUTS - https://bit.ly/3tr58Se My BRAND NEW ...",2023-02-14T20:00:00Z
3niSkw50eGg,How to Start as A Beginner Photographer in 2023,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND NEW VIDEO LUTS - https://bit.ly/3tr58Se My BRAND NEW ...",2023-05-28T20:00:01Z
1DUilKNOEac,Beginner Photography Tips | Part 1,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,My Beginners Photography Course - http://bit.ly/3Cela63 Cinematic Video Luts - https://bit.ly/3tr58Se NEW Lightroom Presets ...,2023-09-16T16:00:02Z
UV5cvvYmJJI,The Rule of Thirds for Beginners | 60 seconds,UCGUSrx8dZxHVfpl5sI8CI8g,Matt Johnson,shorts Learning the rules of composition is one of the fastest ways to get better at photography. The rule of thirds is the easiest of ...,2021-02-10T20:20:16Z
s7pkue5xECw,To my beginner photographers. You’ll be alright #beginnerphotography #shorts #photographytips,UCJvwEFP3h4vdNStd_iOVNNA,MissySure Photography,,2025-05-11T18:34:33Z
hVuTuib65WM,80% Of Photography Basics In Just 10 Minutes,UCeMvA8xJIGgvEjO0kgGFOpg,Pat Kay,Welcome to the first episode of the new series called Beginners Guide! This new series aims to demystify and streamline creative ...,2023-06-13T12:00:34Z
Z1Wb8ZH0uvc,Master the Rule of Thirds for Better Photos #photographytips #shorts,UC_RID7r7mUqWW7q_-dueV7g,CAMERON RADICÉ,Unleash the power of the Rule of Thirds to make your images more interesting. This simple composition technique can ...,2023-05-02T21:23:21Z
czpKb0KDphc,Take SHARPER PHOTOS with this RULE 📷 What is Shutter Speed?,UCzi1cAY62PslI1b-4KGVxoQ,Anthony Gugliotta,Panning Photography: https://youtube.com/shorts/Q4c5PXkrO_w What is Aperture: https://youtube.com/shorts/pZnwfXoPNMA Car ...,2022-11-21T16:00:22Z
YtqfoppzURI,How I Set Up My Camera - Photography Tips (Sony a6400 + Sigma 30mm f1.4),UCuHSzVUbgpf-L64g31ea_hw,Life Through Optics,,2023-08-11T16:55:35Z
Edvpu_939l4,"ISO, Shutter Speed and Aperture Explained | Exposure Basics for Beginners",UCHIRBiAd-PtmNxAcLnGfwog,B&H Photo Video Pro Audio,"In this video, David Flores explores the ""trinity"" of photography fundamentals: ISO, aperture, and shutter speed. Learning to not ...",2017-11-10T18:02:52Z
ADjHnOtTXLY,3 EASY PHOTOGRAPHY TIPS every BEGINNER should know,UCkJld-AoXurbT2jDnfM8qiA,Nigel Danson,These 3 easy to implement tips will mean you start taking better photographs. Last chance to get name in book ...,2023-05-07T08:00:03Z
kplt-eUunt8,IMPROVE YOUR STUDIO PHOTOGRAPHY with these 5 TIPS,UCIWcYDDXXxyIUufuFv_Hykw,Phloshop,,2024-09-27T07:13:24Z
L7N8U7emCVU,5 Tips to INSTANTLY Take Better Photos! 📸🔥,UC6_PrY8iGrnOXdsPSpDYhDQ,Joris Hermans,5 photography tips for beginners to instantly take better photos with a camera or smartphone! ⚡︎ How I Color Grade My Videos: ...,2023-01-23T15:00:16Z
9t2L8dnJE0w,The BEST Camera for Beginners? 📸,UCxhPkNnb4c82owMdEIHUAOg,THAT ICELANDIC GUY.,30 Days Free Photography Tips (instantly improve your composition) https://that-icelandic-guy.kit.com/93f485b79a Presets ...,2023-10-07T15:58:41Z
NutvXZJUPEc,Starting over as a Photographer... (5 tips every beginner should know),UCzi1cAY62PslI1b-4KGVxoQ,Anthony Gugliotta,DIV-1 Lightroom Presets: https://bit.ly/3TDLKMx ✨Entry Level Cameras: https://geni.us/Beginnercameras All My Camera Gear: ...,2023-12-19T16:02:12Z
LBizB0cChkg,Beginner Videographer Tips Part 1,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND NEW VIDEO LUTS - https://bit.ly/3tr58Se My BRAND NEW ...",2023-04-23T16:00:11Z
j0AMBFMjzXA,3 tips for iPhone food photography 🥞 #foodphototips,UCcpxwzzg-oGEeHCr3_-m2SQ,Nick Anderson,,2024-02-14T21:23:13Z
bqrDMyEsVTc,RULE OF THIRDS Composition Explained in 30 Seconds #shorts,UCeRR3gl2xCB68ZO7O_z7cmA,Kunal Malhotra,Learn Photography with me: https://bit.ly/kunalmalhotraYT 📽️ Adobe Lightroom Masterclass: https://bit.ly/LightroomWithKM ...,2021-06-27T05:30:03Z
VSLC6zkMzbo,A Beginners Guide to Street Photography,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND NEW VIDEO LUTS - https://bit.ly/3tr58Se My BRAND NEW ...",2023-05-27T20:00:13Z
4dr_yB8fEwY,How To Make Money As A Beginner Photographer,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"MY PHOTOGRAPHY COURSE - https://tinyurl.com/yc5dn3db USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND ...",2023-06-03T20:00:01Z
-rhckx09tRg,Camera Gear You SHOULDN&#39;T Buy as a Beginner,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,My Beginners Photography Course - http://bit.ly/3Cela63 Cinematic Video Luts - https://bit.ly/3tr58Se NEW Lightroom Presets ...,2023-10-13T16:00:00Z
3UpP2a2KMVI,Creative Photography Tips and Trick with Phone using pro Mode  | Mobile Photography Hacks,UCmJry6Nnjuai_A3zeTu-0jw,THE ADWIN ,"Rocky Edits photo graphy, photography, photography ideas, photography logo, photography hacks, photography shots, ...",2022-11-09T05:42:53Z
j5O6x5SYgMI,Level up your Portrait Photography the EASY way!,UCzi1cAY62PslI1b-4KGVxoQ,Anthony Gugliotta,NEW Lightroom Presets: https://bit.ly/DIV2LAUNCH LET'S CONNECT: https://gugliotta.one/contact #photography.,2024-10-30T15:01:01Z
JGA_xDxZxTc,Here’s What I Wish I Knew Before Starting My Photography Business | Photography Tips,UCI8KndKuflkXZ-kMKzAP9HQ,Cassidy Lynne,Here are some things I wish I could re-do in my photography journey… 1. STOP comparing myself and my work to other ...,2022-11-11T00:32:53Z
yzqGTWbhcIw,"If I Had to Start Photography From 0, Here&#39;s What I&#39;d Do!",UCBG4ZzTTBVg23yVdQhztnfQ,Jason Vong,This video is brought to you by SQUARESPACE! Visit http://squarespace.com/jasonvong to save 10% off your first purchase of a ...,2023-11-29T13:01:00Z
4lyJJ2wd0xg,The Best First Camera To Buy,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND NEW VIDEO LUTS - https://bit.ly/3tr58Se My BRAND NEW ...",2023-03-20T16:00:06Z
YO94U2z2CUQ,7 Photography Tips For Beginner Photographers,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"Level up as a Photographer Today - https://bit.ly/43KZHyH It takes time to learn photography as a beginner. However, there are ...",2024-03-10T11:30:13Z
uyXiWF3mI2s,How to Shoot Manual in 10 Minutes - Beginner Photography Tutorial,UCFzegJR4D8LAIhyboaIWVpg,Hyun Ralph Jeong,Camera used: Fujifilm X-T3 Check out X-T5 - https://howl.me/cjqKqQFfJoB Lens used: Fujinon XF 23mm f2 ...,2019-08-04T09:25:02Z
tyVrCznvNXM,Photography Composition - Beginner Photography Tutorial,UCFzegJR4D8LAIhyboaIWVpg,Hyun Ralph Jeong,Follow me on Instagram: https://www.instagram.com/ralphjeong/ Let's talk about composition today. Here are some of my tips for ...,2019-08-19T16:10:59Z
5KWhQFqSXkI,📸 How I Set My Camera Up For Portraits,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND NEW VIDEO LUTS - https://bit.ly/3tr58Se My BRAND NEW ...",2023-02-13T22:32:54Z
tQ9gPQAk8xY,How to Capture Stunning Landscape Photos: A Beginner&#39;s Guide,UCAa3CS6QjTk6GvEibfnjOQw,Ian Worth,"Sign up to Milanote for free with no time-limit: https://milanote.com/ianworth0724 Hey everyone! This week's video, is a beginners ...",2024-07-04T15:00:51Z
H-9qGWrW83M,EASY PHOTO IDEA with EPIC RESULTS! 💦🤯 #photography #shorts,UC18fv3yDege-nPN5zO48eHg,Kyle Nutt,,2022-01-03T15:17:19Z
z_DgvMHnfjc,My go to settings for sports photography in manual mode,UCsaqasaF2ZWmceiq6DNEfAg,Brian Bosche,,2022-09-07T15:01:06Z
IM8xW9ULZxA,Three ESSENTIAL TIPS For Incredible Landscape Photography! | Sony A1 | Banff #shorts,UCKDT0SRO5w5H4t2qtNNbFdw,Brock Wunder,,2022-10-28T21:53:51Z
FmmnzIgUHi0,Mobile Photography Idea,UCeRR3gl2xCB68ZO7O_z7cmA,Kunal Malhotra,,2024-10-16T07:20:52Z
Vg1WDO4od90,How to Shoot in Manual Mode on your Camera,UCriqrppgdUbwL2YoE_e2nwg,Austin James Jackson,Shooting in manual mode is the best way to gain full control over the look of your photos. Choosing the right settings is more than ...,2024-05-03T15:15:02Z
pEqhCXt_Po4,This Canon R50 is for beginner and has crazy stabilization system and work pretty well,UCUEbsugqAkJ5o5V5eGupCcA,TechFinder,,2023-12-16T04:16:21Z
ObqL8BNaXN0,HOW TO BE A SUCCESSFUL PHOTOGRAPHER (for beginners) &amp; how to get started with no experience | Q&amp;A,UCDQpvL5A9JS0xxi2lsjzR7Q,SydTheCreative,So you wanna know how to be a photographer but you dont know where to start? Maybe you want to be a photographer but you ...,2020-02-11T04:24:00Z
_lbfAotLHl0,Try this Creative Photography with your phone 💡📱 Easy Trick #youtubeshorts  #photography,UCQ98Bh1WIhpJxeWXc4i-A8w,Photofreak Guy,Steps :- ➡️Take a small leaf and choose a green background ➡️ Open Pro Mode of phone camera ➡️Set ISO : 100 (lowest ...,2023-09-06T10:47:20Z
h3Df1gPaCH0,5 tips for stunning iPhone photos…EVERY TIME!📱#iphonephotography #iphonetips #iphonecamera,UC1Q5iU8ODtqQjKFZgz8JAPg,iPhone Photography School,,2024-01-31T09:51:10Z
vwA4EFWUjZE,Creative Photography Tips and Trick with Phone using pro Mode  | Mobile Photography Hacks #shorts,UCmJry6Nnjuai_A3zeTu-0jw,THE ADWIN ,"Rocky Edits video dawnload Instagram photography ideas, photography logo, photography hacks, photography shots, ...",2023-05-21T03:50:20Z
BrZ5sOmTk_M,4 Essential Street Photography Tips for Beginners,UCqHOLeGVTDcgX-IVo6aY_bg,Eren Sarigul,All photos edited with my preset pack: https://erenjam.com/shop/cinematic In todays video I share four street photography tips for ...,2023-02-18T14:15:00Z
qnRsO7uTFRc,Try this mobile photography trick!,UCj9r3VS9Tuy9FRI87HrXgow,Demas Rusli,Try this next time you take a low angle photo! Do you think it's better?,2024-09-05T15:14:46Z
l2o-GgFyLBg,EASY Portrait Photography Tip! 📸,UCLSRffnNNqWn6juq5PsBRIA,Tom Calton,FOLLOW ME www.tiktok.com/@tomcalton www.instagram.com/tom.calton www.facebook.com/tom.calton www.tomcalton.co.uk.,2023-07-11T11:00:40Z
CUFK-JohrAE,Still taking your portrait photos like this?,UCl0L4ecl2ipGTVLp0zz8Puw,JD THECAMERAGUY,,2022-08-09T01:24:49Z
-V2RnZl4n-Q,Photography Tips for Beginners - Why Programme mode is the best camera for beginners.,UC9lyUdwosxq_OxC1uggjUPA,Photo Genius,If you're a beginner to photography and want to get more from your camera then Programme mode is for you. In this video using ...,2021-08-16T13:26:30Z
qnRsO7uTFRc,Try this mobile photography trick!,UCj9r3VS9Tuy9FRI87HrXgow,Demas Rusli,Try this next time you take a low angle photo! Do you think it's better?,2024-09-05T15:14:46Z
nKM3jkEOpuE,4 Framing &amp; Composition Techniques for Beginners | Photography &amp; Video Training,UCWWq67D7TofEPq_eBiaYCWw,Learn Online Video,Correctly framing and composing your photos and videos is crucial in telling the best story possible!...but how do you do it? In this ...,2019-09-27T07:12:03Z
_lbfAotLHl0,Try this Creative Photography with your phone 💡📱 Easy Trick #youtubeshorts  #photography,UCQ98Bh1WIhpJxeWXc4i-A8w,Photofreak Guy,Steps :- ➡️Take a small leaf and choose a green background ➡️ Open Pro Mode of phone camera ➡️Set ISO : 100 (lowest ...,2023-09-06T10:47:20Z
ppTr4NVqWgI,Photography Basics for Noobs | Beginner Guide,UCeaSgd_wuEWpqINS9nLfBxQ,Flow Studio,"Support my game on Kickstarter! : https://www.kickstarter.com/projects/lensisland/lens-island In this video, I will show you how to ...",2016-09-16T21:00:04Z
