videoId,title,channelId,channelTitle,description,publishTime
V7z7BAZdt2M,PHOTOGRAPHY BASICS in 10 MINUTES,UC_sSJZnJdsnjuAKdr95D9HQ,David Manning,Learn Photo Editing Basics: https://youtu.be/ndGeYQtJSdQ Learn Photo RETOUCHING Basics: ...,2019-01-31T21:13:37Z
hVuTuib65WM,80% Of Photography Basics In Just 10 Minutes,UCeMvA8xJIGgvEjO0kgGFOpg,Pat Kay,Welcome to the first episode of the new series called Beginners Guide! This new series aims to demystify and streamline creative ...,2023-06-13T12:00:34Z
Vg1WDO4od90,How to Shoot in Manual Mode on your Camera,UCriqrppgdUbwL2YoE_e2nwg,Austin James Jackson,Shooting in manual mode is the best way to gain full control over the look of your photos. Choosing the right settings is more than ...,2024-05-03T15:15:02Z
Edvpu_939l4,"ISO, Shutter Speed and Aperture Explained | Exposure Basics for Beginners",UCHIRBiAd-PtmNxAcLnGfwog,B&H Photo Video Pro Audio,"In this video, David Flores explores the ""trinity"" of photography fundamentals: ISO, aperture, and shutter speed. Learning to not ...",2017-11-10T18:02:52Z
ixRKeQMa7Nc,CAMERA BASICS!,UC3DkFux8Iv-aYnTRWzwaiBA,Peter McKinnon,"Learn the basics of photography. Aperture, Shutter speed and ISO. The fundamental big 3 you NEED to know! Lightroom PRESET ...",2018-04-24T19:32:23Z
UMnxM1TBshE,MANUAL PHOTOGRAPHY BASICS and camera settings CANON &amp; NIKON beginners tutorial.,UC9lyUdwosxq_OxC1uggjUPA,Photo Genius,This week I show you how to get started with taking photos in the manual mode with demonstrations featuring both Canon and ...,2023-06-17T11:30:16Z
YojL7UQTVhc,Camera Basics - Aperture,UCJFMWWscsO-msPiLj42eXiQ,Apalapse,Sign up for a free 30-day trial to Sonata with my tracking link: ...,2017-03-22T11:59:20Z
yhAmMUi2NmM,Learn Photography for Beginners | Full photography course,UCnSAUHBwdAEPWeeIs8LTViA,Parker Photographic,"This free, four-hour photography course was created for beginners. In it, you'll learn the four keys to creating amazing images and ...",2021-12-25T15:00:27Z
PqEPOg9CHEE,MIRRORLESS vs DSLR IN DENTAL PHOTOGRAPHY,UCEyzNhga0ovRWSY6neMR7xQ,Dr. Calin Pop,One of the key advantages of mirrorless cameras over DSLRs is their advanced autofocus technology. Mirrorless cameras often ...,2025-05-11T10:37:08Z
HTUjJoMNWqo,Master Your Camera in 20 Minutes | Tomorrow&#39;s Filmmakers,UCK8a56y4aVNhlpsJ1f3ZA4Q,Tomorrows Filmmakers,Join our Award Winning Online Film Academy with over 1000+ video lessons and over 100+ hours of content for only $97!!,2021-05-14T19:03:42Z
M7mpyTXB0wc,Nikon beginners guide Part 1 - Nikon photography tutorial,UC9lyUdwosxq_OxC1uggjUPA,Photo Genius,If you are a beginner then this is the perfect place to start with your Nikon DSLR camera. In Part 1 Paul from Photo Genius will ...,2017-09-01T09:59:41Z
NsmOlu-udlA,Canon 2000D Quick Beginners Guide to Manual Controls,UCoRvLevj4sQdjuwXFL4m_IA,Mr Michael’s Educational Resources,How to: Set Mode Dial to Manual (M) Set Manual Focus (MF) Adjust Shutter Speed Adjust Aperture Adjust ISO How to activate ...,2021-07-10T08:16:54Z
1WUW-OgBTe0,How to Use a DSLR Camera? A Beginner&#39;s Guide,UCvpfclapgcuJo0M_x65pfRw,Beebom,"If you have just bought a brand new DSLR Camera or you are planning to buy a new one, the various features and options can be ...",2017-01-25T15:25:48Z
TcpQ4OAKVpQ,How to Use a Camera | A Beginner’s Guide,UCH2tpAxt19Q_Kpxfsjf9sfg,Colt Kirwan,Hola! In this video I go over the basics of how to use a camera in a fun and visual way. We go over the fundamentals of ...,2023-08-23T15:00:10Z
Z6J5nN45cKk,How to Shoot in Manual Mode for Beginners + Examples,UCxbCDVe8TuzLbPFnxlC55Nw,Julia Trotti,The first 1000 people to use this link will get a free trial of Skillshare Premium Membership: https://skl.sh/juliatrotti01211 Photos ...,2021-01-12T15:00:12Z
9zPMEkZgtcI,DSLR Photography Lessons - How to Take AWESOME long exposures 📷 DIY in 5 EP 32,UCLlmpSSdRdFbd_p9oNPcGfA,Kingston Technology,"Have you seen surreal, colorful night sky photos of the Milky Way or streaks of light in a cityscape and wonder how this is done?",2016-12-16T18:00:01Z
xQ347rywl1M,The Perfect Camera For Beginners,UCFRRGb_bjUXMAsLvQEDAAig,Camera Explorations,"Beginner photographers nowadays are very lucky. I bought my first camera in 2008, an Olympus E-410 - this camera doesn't even ...",2024-05-04T17:09:53Z
WJJESx_GMwc,How to click photo with dslr camera 🔥🔥,UC_mGOFzB2TAAAtUTkW8ZNnA,Blackglass Reviews,Thanks for watching.,2022-01-18T09:00:25Z
7OYlWe5Z30E,How To Hold A DSLR Camera - Photography Basics,UC657WVfsOP5FTnk6pJVaBtw,Photographer's Freedom,Quick tips for how to hold a DSLR camera. Beginners will get a lot out of this video. Your DSLR cost you a bit of money so you ...,2022-11-19T11:28:53Z
WXdAX0No2hM,Be a Better Photographer in 45 mins,UCuwxuGc36QSFZsOPJEFzvmw,Sudhir Shivaram Photography,A simple straight forward video tutorial to help you with your basics of photography. Download my photography learning App: How ...,2017-09-22T13:44:21Z
cW3qQ8plJ0U,DSLR Camera Settings You MUST KNOW For Astrophotography - Beginners Tutorial,UCRxDxlGtGTlUf6b3qeU0y1g,AstroOnBudget,Here's beginners friendly tutorial on DSLR camera settings that you must know for astrophotography. These settings can be very ...,2021-12-05T04:00:28Z
N6mS3QcgEO4,"How to Turn on, GRID view on Canon DSLR💪",UCpAXhW4ujbBOywVI061FhGA,Manos Photography,Subscribe if you like my video!!! Grid lines are used so that YOU CAN ACTUALLY GET A PERFECT COMPOSITION OF A ...,2022-10-03T18:51:40Z
