videoId,title,channelId,channelTitle,description,publishTime
czpKb0KDphc,Take SHARPER PHOTOS with this RULE 📷 What is Shutter Speed?,UCzi1cAY62PslI1b-4KGVxoQ,Anthony Gugliotta,Panning Photography: https://youtube.com/shorts/Q4c5PXkrO_w What is Aperture: https://youtube.com/shorts/pZnwfXoPNMA Car ...,2022-11-21T16:00:22Z
Edvpu_939l4,"ISO, Shutter Speed and Aperture Explained | Exposure Basics for Beginners",UCHIRBiAd-PtmNxAcLnGfwog,B&H Photo Video Pro Audio,"In this video, David Flores explores the ""trinity"" of photography fundamentals: ISO, aperture, and shutter speed. Learning to not ...",2017-11-10T18:02:52Z
Vg1WDO4od90,How to Shoot in Manual Mode on your Camera,UCriqrppgdUbwL2YoE_e2nwg,Austin James Jackson,Shooting in manual mode is the best way to gain full control over the look of your photos. Choosing the right settings is more than ...,2024-05-03T15:15:02Z
V7z7BAZdt2M,PHOTOGRAPHY BASICS in 10 MINUTES,UC_sSJZnJdsnjuAKdr95D9HQ,David Manning,Learn Photo Editing Basics: https://youtu.be/ndGeYQtJSdQ Learn Photo RETOUCHING Basics: ...,2019-01-31T21:13:37Z
U_wPlZ59f3g,How to Focus Stack in Photography - QUICK and EASY!,UCriqrppgdUbwL2YoE_e2nwg,Austin James Jackson,"Focusing stacking is a technique that ALL landscape photographers should know how to do. Luckily, it's a lot easier to do than you ...",2024-03-21T17:00:21Z
FmmnzIgUHi0,Mobile Photography Idea,UCeRR3gl2xCB68ZO7O_z7cmA,Kunal Malhotra,,2024-10-16T07:20:52Z
hVuTuib65WM,80% Of Photography Basics In Just 10 Minutes,UCeMvA8xJIGgvEjO0kgGFOpg,Pat Kay,Welcome to the first episode of the new series called Beginners Guide! This new series aims to demystify and streamline creative ...,2023-06-13T12:00:34Z
UV5cvvYmJJI,The Rule of Thirds for Beginners | 60 seconds,UCGUSrx8dZxHVfpl5sI8CI8g,Matt Johnson,shorts Learning the rules of composition is one of the fastest ways to get better at photography. The rule of thirds is the easiest of ...,2021-02-10T20:20:16Z
dGKsjretvZY,Photoshop Tutorials #photoshop #photoediting #imageediting #clone  #clonestamptool @mistergraphics,UCpPRSsw9O7PM6ZoCWfbvx8A,Mister Graphics,Photoshop Tutorials #photoshop #photoediting #imageediting #clone #clonestamptool #image #images #photo #photography ...,2025-05-10T12:40:32Z
kplt-eUunt8,IMPROVE YOUR STUDIO PHOTOGRAPHY with these 5 TIPS,UCIWcYDDXXxyIUufuFv_Hykw,Phloshop,,2024-09-27T07:13:24Z
